,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
0,000001.SZ,20180315,20171231,中国平安保险(集团)股份有限公司-集团本级-自有资金,8510493066.0,49.56
1,000001.SZ,20180315,20171231,中国平安人寿保险股份有限公司-自有资金,1049462784.0,6.11
2,000001.SZ,20180315,20171231,中国证券金融股份有限公司,490175371.0,2.85
3,000001.SZ,20180315,20171231,中国平安人寿保险股份有限公司-传统-普通保险产品,389735963.0,2.27
4,000001.SZ,20180315,20171231,香港中央结算有限公司(陆股通),364769094.0,2.12
5,000001.SZ,20180315,20171231,中央汇金资产管理有限责任公司,216213000.0,1.26
6,000001.SZ,20180315,20171231,深圳中电投资股份有限公司,186051938.0,1.08
7,000001.SZ,20180315,20171231,河南鸿宝集团有限公司,78858987.0,0.46
8,000001.SZ,20180315,20171231,南方基金-农业银行-南方中证金融资产管理计划,57809862.0,0.34
9,000001.SZ,20180315,20171231,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,53493502.0,0.31
0,000002.SZ,20180327,20171231,深圳市地铁集团有限公司,3242810791.0,29.38
1,000002.SZ,20180327,20171231,香港中央结算(代理人)有限公司,1314907839.0,11.91
2,000002.SZ,20180327,20171231,深圳市钜盛华股份有限公司,926070472.0,8.39
3,000002.SZ,20180327,20171231,国信证券-工商银行-国信金鹏分级1号集合资产管理计划,456993190.0,4.14
4,000002.SZ,20180327,20171231,前海人寿保险股份有限公司-海利年年,349776441.0,3.17
5,000002.SZ,20180327,20171231,招商财富-招商银行-德赢1号专项资产管理计划,329352920.0,2.99
6,000002.SZ,20180327,20171231,安邦财产保险股份有限公司-传统产品,258167403.0,2.33
7,000002.SZ,20180327,20171231,安邦人寿保险股份有限公司-保守型投资组合,243677851.0,2.21
8,000002.SZ,20180327,20171231,西部利得基金-建设银行-西部利得金裕1号资产管理计划,225494379.0,2.04
9,000002.SZ,20180327,20171231,前海人寿保险股份有限公司-聚富产品,218081383.0,1.97
0,000004.SZ,20180428,20171231,深圳中农大科技投资有限公司,23876848.0,28.43
1,000004.SZ,20180428,20171231,中科汇通(深圳)股权投资基金有限公司,8397600.0,10.0
2,000004.SZ,20180428,20171231,国华人寿保险股份有限公司-万能三号,4208900.0,5.01
3,000004.SZ,20180428,20171231,中银国际证券-中国银行-中银证券中国红-汇中2号集合资产管理计划,2106237.0,2.51
4,000004.SZ,20180428,20171231,周建新,2014113.0,2.4
5,000004.SZ,20180428,20171231,中银国际证券-中国银行-中银证券中国红-汇中1号集合资产管理计划,1720167.0,2.05
6,000004.SZ,20180428,20171231,汪国新,1436407.0,1.71
7,000004.SZ,20180428,20171231,谢林波,1324247.0,1.58
8,000004.SZ,20180428,20171231,李林琳,1210000.0,1.44
9,000004.SZ,20180428,20171231,中国建设银行股份有限公司-中银证券保本1号混合型证券投资基金,910958.0,1.08
0,000005.SZ,20180421,20171231,中国投资有限公司,184240445.0,17.41
1,000005.SZ,20180421,20171231,深圳市博睿意碳源科技有限公司,39631510.0,3.74
2,000005.SZ,20180421,20171231,陈栩,21059496.0,1.99
3,000005.SZ,20180421,20171231,林丹娜,20125613.0,1.9
4,000005.SZ,20180421,20171231,许培雅,19820712.0,1.87
5,000005.SZ,20180421,20171231,深圳市城市建设开发(集团)有限公司,16381900.0,1.55
6,000005.SZ,20180421,20171231,香港中央结算有限公司(陆股通),13005029.0,1.23
