,ts_code,symbol,name,exchange_id,list_status,list_date
179,000600.SZ,000600,建投能源,SZSE,L,19960606
180,000601.SZ,000601,韶能股份,SZSE,L,19960830
181,000603.SZ,000603,盛达矿业,SZSE,L,19960823
182,000605.SZ,000605,渤海股份,SZSE,L,19960913
183,000606.SZ,000606,顺利办,SZSE,L,19961004
184,000607.SZ,000607,华媒控股,SZSE,L,19960830
185,000608.SZ,000608,阳光股份,SZSE,L,19960919
186,000609.SZ,000609,中迪投资,SZSE,L,19961010
187,000610.SZ,000610,西安旅游,SZSE,L,19960926
188,000611.SZ,000611,天首发展,SZSE,L,19961008
189,000612.SZ,000612,焦作万方,SZSE,L,19960926
190,000613.SZ,000613,大东海A,SZSE,L,19970128
191,000615.SZ,000615,京汉股份,SZSE,L,19961016
192,000616.SZ,000616,海航投资,SZSE,L,19961108
193,000617.SZ,000617,中油资本,SZSE,L,19961022
194,000619.SZ,000619,海螺型材,SZSE,L,19961023
195,000620.SZ,000620,新华联,SZSE,L,19961029
196,000622.SZ,000622,恒立实业,SZSE,L,19961107
197,000623.SZ,000623,吉林敖东,SZSE,L,19961028
198,000625.SZ,000625,长安汽车,SZSE,L,19970610
199,000626.SZ,000626,远大控股,SZSE,L,19961128
200,000627.SZ,000627,天茂集团,SZSE,L,19961112
201,000628.SZ,000628,高新发展,SZSE,L,19961118
202,000629.SZ,000629,攀钢钒钛,SZSE,L,19961115
203,000630.SZ,000630,铜陵有色,SZSE,L,19961120
204,000631.SZ,000631,顺发恒业,SZSE,L,19961122
205,000632.SZ,000632,三木集团,SZSE,L,19961121
206,000633.SZ,000633,合金投资,SZSE,L,19961112
207,000635.SZ,000635,英力特,SZSE,L,19961120
208,000636.SZ,000636,风华高科,SZSE,L,19961129
209,000637.SZ,000637,茂化实华,SZSE,L,19961114
210,000638.SZ,000638,万方发展,SZSE,L,19961126
211,000639.SZ,000639,西王食品,SZSE,L,19961126
212,000650.SZ,000650,仁和药业,SZSE,L,19961210
213,000651.SZ,000651,格力电器,SZSE,L,19961118
214,000652.SZ,000652,泰达股份,SZSE,L,19961128
215,000655.SZ,000655,*ST金岭,SZSE,L,19961128
216,000656.SZ,000656,金科股份,SZSE,L,19961128
217,000657.SZ,000657,中钨高新,SZSE,L,19961205
218,000659.SZ,000659,珠海中富,SZSE,L,19961203
219,000661.SZ,000661,长春高新,SZSE,L,19961218
220,000662.SZ,000662,天夏智慧,SZSE,L,19961216
221,000663.SZ,000663,永安林业,SZSE,L,19961206
222,000665.SZ,000665,湖北广电,SZSE,L,19961210
223,000666.SZ,000666,经纬纺机,SZSE,L,19961210
224,000667.SZ,000667,美好置业,SZSE,L,19961205
225,000668.SZ,000668,荣丰控股,SZSE,L,19961210
226,000669.SZ,000669,金鸿控股,SZSE,L,19961210
227,000670.SZ,000670,盈方微,SZSE,L,19961217
228,000671.SZ,000671,阳光城,SZSE,L,19961218
229,000672.SZ,000672,上峰水泥,SZSE,L,19961218
230,000673.SZ,000673,当代东方,SZSE,L,19970124
231,000676.SZ,000676,智度股份,SZSE,L,19961224
232,000677.SZ,000677,恒天海龙,SZSE,L,19961226
233,000678.SZ,000678,襄阳轴承,SZSE,L,19970106
234,000679.SZ,000679,大连友谊,SZSE,L,19970124
235,000680.SZ,000680,山推股份,SZSE,L,19970122
236,000681.SZ,000681,视觉中国,SZSE,L,19970121
237,000682.SZ,000682,东方电子,SZSE,L,19970121
238,000683.SZ,000683,远兴能源,SZSE,L,19970131
239,000685.SZ,000685,中山公用,SZSE,L,19970123
240,000686.SZ,000686,东北证券,SZSE,L,19970227
241,000687.SZ,000687,华讯方舟,SZSE,L,19970221
242,000688.SZ,000688,国城矿业,SZSE,L,19970120
243,000690.SZ,000690,宝新能源,SZSE,L,19970128
244,000691.SZ,000691,亚太实业,SZSE,L,19970228
245,000692.SZ,000692,惠天热电,SZSE,L,19970227
